review_id,star_rating,helpful_votes,total_votes,vine,verified_purchase
R170CSI4BLYZ3Q,5,15,21,Y,
R3CTDYOOT80F33,5,113,123,Y,
R2ZC5HMUO3P0VN,4,120,127,Y,
R1IX4FKUDSA3JW,5,100,108,Y,
R1VIRG69V1C728,5,24,32,Y,
RNGV94J9ILLXD,3,16,25,Y,
R2WFI8D61RV5DQ,5,45,54,Y,
R10AEL3WQO55BF,3,74,83,Y,
RC078SQX4PZFJ,4,35,38,Y,
R3493P2F37TR6Q,5,126,138,Y,
R13RA2Y6CEAQN9,3,23,34,Y,
R24KE3ZEKQGDOV,4,50,58,Y,
R17DI4EJN493AU,3,18,22,Y,
R1MO879UBSWU9T,5,19,22,Y,
RL0D72CBF4EC,3,29,39,Y,
R3OT92Z791VWCZ,5,24,31,Y,
R2IR44QLDR2G9A,5,30,32,Y,
R1B3YJ54AV105L,5,26,32,Y,
R1PJIV9DCRLA0A,5,17,24,Y,
R2AZRMI01V2KB8,5,18,21,Y,
R39M1PIYAV8TAC,3,103,121,Y,
R1VIATNNWUVCZF,5,52,58,Y,
R3CLKLO00NO08B,5,37,43,Y,
R2C4K4SO2R8G31,5,44,53,Y,
R1DSGTGECTO7MU,4,19,20,Y,
R1WD3DJH1EWGL8,3,22,29,Y,
R1S2ES1PYNOTPV,4,50,52,Y,
R39MKPWH441TY8,3,20,22,Y,
RJH6Y9GFWTSJ5,4,44,49,Y,
R2DTTGG4LN8P55,5,30,31,Y,
R31FAT31RLICPK,2,15,25,Y,
R2OEUBFAKOJ1AT,5,134,138,Y,
RQ9P014E3SZ2V,5,22,26,Y,
R1GS6T9LAJZ1JJ,4,23,27,Y,
RYL3EI2JPF33W,5,33,36,Y,
R26M611MR53Y8G,4,18,24,Y,
R3BAL82M0GRBHR,1,40,43,Y,
RO3TCW2MLB0ED,4,41,44,Y,
R7U6Z3V8MUIQG,5,15,21,Y,
R1UL9JHZD8PZVU,5,20,23,Y,
RGSDYM4G940IM,3,26,27,Y,
R3EIBNKTZXD4GJ,3,24,25,Y,
R3ASBIGIAZTDJR,5,45,54,Y,
R2T3RSX15IF8U9,4,64,71,Y,
R1Y69OPKGPL49L,5,23,32,Y,
RM0020CZP6FL1,5,65,70,Y,
R3NOQL4BUJ041X,3,15,27,Y,
RQYJBACR3VWWJ,5,766,806,Y,
R2NUO5KCVWNYKA,5,20,25,Y,
R2324UCKNQF1U,5,91,102,Y,
R2I5FVKFK0LVZ6,5,790,806,Y,
R1SBV7449RUK1Z,5,39,45,Y,
R19ECQ3K3Z8CO3,5,27,30,Y,
R1LPHKZLC6BECE,5,332,337,Y,
R1LRXW9HN3MOG2,5,47,55,Y,
RP7IBZUQG89LR,5,25,34,Y,
R2FK3ORAYZI5M2,5,18,27,Y,
R6BXK49G829HS,5,69,81,Y,
RN0Y3W4D07FEH,4,28,32,Y,
RHO3AF57TUW3N,5,21,23,Y,
R2VXS3PVPSBXQ9,5,49,60,Y,
R32NG8RG7D19ME,5,105,112,Y,
R3PN0DW62Y40T,3,21,29,Y,
R1S0CUIMSGN38V,5,22,25,Y,
R26Y8YAR5AEQNV,4,21,25,Y,
RFJBQYR7WFMVY,1,21,27,Y,
R339QYMMFZLTQC,5,191,200,Y,
R2ASMO4ROCF6SU,2,38,40,Y,
R16MFKBUMWNJC6,4,43,47,Y,
R37HQYOQ55W2JS,4,41,42,Y,
R2HCG6Y1H1S4PW,3,28,41,Y,
R1D4ZU669F9JC4,4,59,68,Y,
R1KEUU9IPJ49IP,4,45,51,Y,
R2U2F1W83GL47A,3,23,23,Y,
R2QSCRPHR8HOL,5,15,20,Y,
R1LWQ3B7SHYB7U,3,45,52,Y,
R2XHKTPAEYCFPY,4,21,32,Y,
R3B4KHDEO0DXF6,5,59,69,Y,
R3M7G0XW438WQZ,4,47,54,Y,
R2XGD7OK96SZCT,2,28,40,Y,
RH29MHFXSU01E,5,27,28,Y,
R2TM0M946SQIV3,4,23,28,Y,
RCTXYKKM13YHJ,4,27,35,Y,
RMWIS13Y01YE4,1,22,28,Y,
R2ZO3S8ENZ5IFJ,3,23,33,Y,
R1WISDKOOQRUU5,4,22,30,Y,
R11DCD2SYIWN6Y,5,81,86,Y,
RWUZHGXKSRC8D,5,24,29,Y,
R2PM6N2VQGBWYZ,5,271,300,Y,
R35FQNQDB7NCBH,4,38,39,Y,
R2B0T5E7PA986V,5,93,103,Y,
R2UDNTTK815UF7,4,27,30,Y,
R24UGNZU0GBU5X,5,75,79,Y,
R103HKRFYE9LNI,4,33,39,Y,
R7Q0TRPBX4K52,2,63,78,Y,
R30DBZMF97PX3I,5,45,52,Y,
R1HZWZRDQ81F11,4,36,40,Y,
RB144BWI13VY3,5,102,102,Y,
R3GVF60N1BS1CF,1,21,23,Y,
R15LRIHUL64WOG,3,61,69,Y,
RBAH3QW1XAJBW,3,81,95,Y,
R1G82FG6JO29JG,4,19,26,Y,
R2WHR63KWELZR2,3,47,49,Y,
RJ4L5PSEVVB9V,4,107,118,Y,
R1NV699SGAZ86H,2,17,32,Y,
R3HNWOHPH767AR,4,44,58,Y,
RLEYI8RAGTMM9,4,61,68,Y,
R34TDA7QV9KMHZ,5,37,45,Y,
RGIFY5Z5MQZ7E,4,51,68,Y,
R1SITKNJ6T4WGI,4,77,90,Y,
R3RG313L2UBLX,4,20,21,Y,
RDHHR1YEYEHWB,4,26,31,Y,
R2NJZ3QE0V4A53,5,34,38,Y,
R1SS0AMUVC7QH,4,27,31,Y,
R1AMIVCXJGADZU,3,51,59,Y,
R3AZVYOCPPGIG6,4,153,157,Y,
R2HFL2T2XBWDSD,4,169,181,Y,
R2IPGCI1LH2MRR,5,50,61,Y,
R2X1EWKY18UF1M,4,50,52,Y,
R3HMSUFIU8UNIL,5,25,31,Y,
R313LC75YHRKSO,5,66,76,Y,
RWTMNR4N0FM1D,5,48,49,Y,
R3DN6OOD55NDXC,3,62,70,Y,
R1PM3T35C7QM66,3,48,58,Y,
RGO0NNJ2M96YL,3,56,62,Y,
RBZA525FIGRT,2,15,21,Y,
RIFBMESPYVE68,4,20,27,Y,
RN7PGXP7SJ2R1,5,38,38,Y,
R23KCAAEHY9795,4,19,25,Y,
RAW4AMMMWFY1,2,58,65,Y,
R2XU8C5Q33TM6,5,24,34,Y,
RE0DA9K7S1H8,1,745,937,Y,
R184X5T366P4AI,3,42,51,Y,
R1KOT27D8QN6U9,5,62,69,Y,
R17T52P6JIH4UB,4,26,30,Y,
ROBMAUGQK8YPF,5,42,43,Y,
R3QPWTIELF5M72,5,20,23,Y,
R2GTWZE5L9C8RZ,5,17,20,Y,
R30CGBJEAQ8WBT,5,17,20,Y,
R33W5YBL2C4GUV,5,35,41,Y,
R1DS162DDCG7H6,3,18,27,Y,
RJA0D6TSS4SYX,5,171,178,Y,
ROWUUIC0WG4MJ,4,175,187,Y,
R16DR7EU33B0WI,5,21,23,Y,
R2K85MNDD9ZHFE,4,18,23,Y,
R6LJ7USQPAVG5,3,68,71,Y,
R2NB99ZMCZHQ03,4,271,294,Y,
R3HLFJTHT96CTG,4,25,34,Y,
R1IKM8GPI6XM96,4,13,22,Y,
R3MQ860VKI6NIV,5,34,36,Y,
R2JKZCG3YR8VXZ,4,98,126,Y,
R3KD571G1FBADL,4,83,90,Y,
R308VPZGWAROTV,5,154,169,Y,
R1XCJKBMW5AGHX,4,21,23,Y,
R4UV34VLUU0ZC,4,32,41,Y,
R11V79EOFX1TN,5,84,87,Y,
R21M5LTGH9LYV9,5,533,553,Y,
R2ITXBDEDE941C,4,73,79,Y,
R1Q34KA0CY0FFW,5,78,80,Y,
R19BYIUI1ERDJC,4,29,38,Y,
R1QBURCQEUEYY7,2,16,23,Y,
R3SDG1MWBLPOYM,5,11,21,Y,
RB757M2FQ63RS,5,106,123,Y,
R2WJ5VAJ0BJFL3,4,26,31,Y,
R137QBFYTL7X2P,5,82,94,Y,
R2K11EMZSHZMBA,5,76,89,Y,
R2QASXB29WMDDA,3,364,383,Y,
RGFXK1QPVEM0Q,2,52,59,Y,
RK16WI2TXLTWE,5,26,35,Y,
R1DEZR3DLVFWBW,4,27,36,Y,
R1KDP72AP8E0GV,5,59,67,Y,
R1YNSND5LAI24E,5,93,111,Y,
R2ZEIG43FNTBY3,2,23,27,Y,
R2ONWN64A3H8HZ,1,17,21,Y,
RS6BAQ6UBV1HI,5,14,20,Y,
R3DBMPYTCMMG9F,5,66,75,Y,
R37K9HTKALCHAI,5,112,123,Y,
R3QQ8YCF1QZVZA,5,25,33,Y,
RYFEVF5WQZXXA,1,47,58,Y,
RIV9NVYAMD3EK,5,31,35,Y,
R2JG86OOYNYRRR,5,77,82,Y,
R3GNRFCJ147S0Y,3,18,23,Y,
R1YGETOLLV82ZD,5,175,189,Y,
R2PXISFHK6ODTN,4,409,437,Y,
RR66TXJYH5HUZ,3,24,24,Y,
R1O27LQISZQNBW,3,30,32,Y,
R193WWMJ9VXWZY,5,38,52,Y,
RTCJW3R2V37OH,2,21,26,Y,
R31BQZ4JTG81V0,5,210,240,Y,
R300VRU7IWNG4G,2,18,22,Y,
R2U95KTBX27TRX,4,35,37,Y,
R3KD16923UVIHA,5,26,30,Y,
RWYNZHQIOY505,4,35,40,Y,
RLZ4U3D99XDXG,3,19,22,Y,
R2KW75DLTQ7KZB,5,36,41,Y,
R285QQ2J93CH7X,5,102,108,Y,
R2YI64HYU0I8DW,4,57,66,Y,
R338LVK5F6IQ6Y,4,20,27,Y,
